name	ina	sex	note	isni	wd	nationality	date	occupation
Montgomery , Bernard Law	http://www.ina.fr/thesaurus/pp/concept_10077008	http://www.ina.fr/core#Male	Militaire. Grande Bretagne	https://isni.org/isni/0000000483255702	Q152025	United Kingdom	1887	militaires
Chataigneau , Yves	http://www.ina.fr/thesaurus/pp/concept_10088383	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000006919510	Q3573552	France	1891	personnalités politiques françaises
Flaud , Jacques	http://www.ina.fr/thesaurus/pp/concept_10098228	http://www.ina.fr/core#Male	Directeur du Centre National du Cinéma	https://isni.org/isni/0000000008862634	Q93361476		1914	artistes, écrivains
Mons , Jean	http://www.ina.fr/thesaurus/pp/concept_10134699	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000459755272	Q21606886	France	1906	personnalités politiques françaises
Peron , Juan	http://www.ina.fr/thesaurus/pp/concept_10213967	http://www.ina.fr/core#Male	Homme politique. Argentine	https://isni.org/isni/0000000121393788	Q93330	Argentina	1895	personnalités politiques étrangères
Darrigade , André	http://www.ina.fr/thesaurus/pp/concept_10205432	http://www.ina.fr/core#Male	Coureur cycliste. France	https://isni.org/isni/0000000052042799	Q518229	France	1929	sportifs
Duval , Raymond Francis	http://www.ina.fr/thesaurus/pp/concept_320501	http://www.ina.fr/core#Male	Militaire général. France	https://isni.org/isni/0000000079388968	Q3420830	France	1894	militaires
Gauthier , Bernard	http://www.ina.fr/thesaurus/pp/concept_10091152	http://www.ina.fr/core#Male	Coureur cycliste. France	https://isni.org/isni/0000000501133726	Q822440	France	1924	sportifs
Anne d' Angleterre	http://www.ina.fr/thesaurus/pp/concept_10183224	http://www.ina.fr/core#Female	Fille d'Elizabeth II	https://isni.org/isni/0000000110202640		United Kingdom	1936	femme ou mari de
Bonnet , Henri	http://www.ina.fr/thesaurus/pp/concept_10160672	http://www.ina.fr/core#Male	Homme politique, diplomate. France	https://isni.org/isni/0000000435232899	Q3130710	France	1888	personnalités politiques françaises
Grace de Monaco	http://www.ina.fr/thesaurus/pp/concept_10116426	http://www.ina.fr/core#Female	Princesse régnante de Monaco	https://isni.org/isni/0000000120955240		Monaco	1929	femme ou mari de
Kübler , Ferdinand		http://www.ina.fr/core#Male		https://isni.org/isni/0000000118751572	Q458713		1919	sportifs
Paul Ier de Grèce	http://www.ina.fr/thesaurus/pp/concept_10144816	http://www.ina.fr/core#Male		https://isni.org/isni/0000000382782810	Q155394		1901	personnalités politiques étrangères
Schneiter , Pierre	http://www.ina.fr/thesaurus/pp/concept_10090210	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000113635951	Q2093898	France	1905	personnalités politiques françaises
Triboulet , Raymond	http://www.ina.fr/thesaurus/pp/concept_10156291	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000114413832	Q2695709	France	1906	personnalités politiques françaises
Bartali , Gino	http://www.ina.fr/thesaurus/pp/concept_10056819	http://www.ina.fr/core#Male	Coureur cycliste. Italie	https://isni.org/isni/0000000024105668	Q155010	Italy	1914	sportifs
Caron , Christine	http://www.ina.fr/thesaurus/pp/concept_10144052	http://www.ina.fr/core#Female	Homonymes : 1 - Nageuse ; 2 - Actrice	https://isni.org/isni/0000000373588602	Q530708		1948	sportifs
De Gloucester , Henry	http://www.ina.fr/thesaurus/pp/concept_265555	http://www.ina.fr/core#Male	Duc de Gloucester. Grande Bretagne	https://isni.org/isni/0000000444571307	Q117174	United Kingdom	1900	femme ou mari de
Delouvrier , Paul	http://www.ina.fr/thesaurus/pp/concept_10218501	http://www.ina.fr/core#Male	Chef d'entreprise, haut fonctionnaire. France	https://isni.org/isni/0000000081890906	Q2447812	France	1914	personnalités politiques françaises
Frederika de Grèce	http://www.ina.fr/thesaurus/pp/concept_10202494	http://www.ina.fr/core#Female		https://isni.org/isni/0000000020150680		Greece	1930	femme ou mari de
Letourneau , Jean	http://www.ina.fr/thesaurus/pp/concept_10212275	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000483170047	Q2353415	France	1907	personnalités politiques françaises
Schaer , Fritz	http://www.ina.fr/thesaurus/pp/concept_10128060	http://www.ina.fr/core#Male	Coureur cycliste. Suisse		Q672930	Switzerland	1926	sportifs
Berthoin , Jean	http://www.ina.fr/thesaurus/pp/concept_10160507	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000107559366	Q1469157	France	1895	personnalités politiques françaises
Bozon , Charles	http://www.ina.fr/thesaurus/pp/concept_10092293	http://www.ina.fr/core#Male	Guide de montagne		Q1063789		1932	sportifs
François Poncet , André	http://www.ina.fr/thesaurus/pp/concept_10097147	http://www.ina.fr/core#Male	Diplomate. France	https://isni.org/isni/0000000121478319	Q518576	France	1887	personnalités politiques françaises
Ganeval , Jean	http://www.ina.fr/thesaurus/pp/concept_10102871	http://www.ina.fr/core#Male	Militaire général. France	https://isni.org/isni/0000000071736956	Q3172209	France	1894	militaires
Geminiani , Raphaël	http://www.ina.fr/thesaurus/pp/concept_10058546	http://www.ina.fr/core#Male	Coureur cycliste. France	https://isni.org/isni/0000000078307214	Q490613	France	1925	sportifs
Irène des Pays Bas	http://www.ina.fr/thesaurus/pp/concept_10132380	http://www.ina.fr/core#Female	Princesse d'Orange-Nassau, princesse de Lippe Biesterfeld. Pays Bas	https://isni.org/isni/0000000120170259	Q263623	Kingdom of the Netherlands	1939	femme ou mari de
Mountbatten , Louis	http://www.ina.fr/thesaurus/pp/concept_10212396	http://www.ina.fr/core#Male	Amiral. Grande-Bretagne	https://isni.org/isni/0000000448854187	Q157068	United Kingdom	1900	militaires
Vanier , Georges	http://www.ina.fr/thesaurus/pp/concept_10130263	http://www.ina.fr/core#Male		https://isni.org/isni/0000000073794260	Q974089		1888	militaires
Achard , Marcel	http://www.ina.fr/thesaurus/pp/concept_10203192	http://www.ina.fr/core#Male	Ecrivain. France	https://isni.org/isni/0000000372911383	Q314990	France	1899	artistes, écrivains
Bao Dai	http://www.ina.fr/thesaurus/pp/concept_10154443	http://www.ina.fr/core#Male	Empereur. Vietnam	https://isni.org/isni/0000000502137067	Q223771	Vietnam	1913	personnalités politiques étrangères
Buron , Robert	http://www.ina.fr/thesaurus/pp/concept_10138113	http://www.ina.fr/core#Male	Homme politique. France	https://isni.org/isni/0000000066412666	Q3434688	France	1910	personnalités politiques françaises
Caffery , Jefferson	http://www.ina.fr/thesaurus/pp/concept_10129034	http://www.ina.fr/core#Male	Diplomate. Etats Unis	https://isni.org/isni/0000000114770493	Q929798	United States of America	1886	personnalités politiques étrangères
